task,domain,source_anchor_pct,target_anchor_pct,metric,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,transfer_verdict
earlystop,math,80,30,auroc,0.931417,0.937504,0.938941,-0.006087,-0.007524,tie
earlystop,math,80,30,selacc@10%,0.998701,0.996104,0.997403,0.002597,0.001298,win
earlystop,math,80,30,stop_acc,0.741667,0.766667,0.758333,-0.025000,-0.016666,loss
earlystop,math,80,40,auroc,0.941947,0.945627,0.947742,-0.003680,-0.005795,tie
earlystop,math,80,40,selacc@10%,0.996104,0.996104,0.997403,0.000000,-0.001299,win
earlystop,math,80,40,stop_acc,0.750000,0.766667,0.758333,-0.016667,-0.008333,tie
earlystop,math,80,50,auroc,0.948506,0.950834,0.952795,-0.002328,-0.004289,tie
earlystop,math,80,50,selacc@10%,0.997403,0.997403,0.998701,0.000000,-0.001298,win
earlystop,math,80,50,stop_acc,0.750000,0.750000,0.741667,0.000000,0.008333,win
earlystop,math,80,60,auroc,0.953176,0.954784,0.956348,-0.001608,-0.003172,tie
earlystop,math,80,60,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,60,stop_acc,0.750000,0.741667,0.741667,0.008333,0.008333,win
earlystop,math,80,70,auroc,0.957379,0.958260,0.959111,-0.000881,-0.001732,tie
earlystop,math,80,70,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,70,stop_acc,0.766667,0.766667,0.775000,0.000000,-0.008333,win
earlystop,math,80,80,auroc,0.960019,0.960316,0.961026,-0.000297,-0.001007,tie
earlystop,math,80,80,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,80,stop_acc,0.758333,0.775000,0.766667,-0.016667,-0.008334,tie
earlystop,math,80,90,auroc,0.963088,0.963295,0.964069,-0.000207,-0.000981,tie
earlystop,math,80,90,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,90,stop_acc,0.783333,0.783333,0.791667,0.000000,-0.008334,win
earlystop,math,80,100,auroc,0.965726,0.965784,0.966757,-0.000058,-0.001031,tie
earlystop,math,80,100,selacc@10%,0.998701,0.998701,0.998701,0.000000,0.000000,win
earlystop,math,80,100,stop_acc,0.791667,0.800000,0.800000,-0.008333,-0.008333,tie
earlystop,math,90,10,auroc,0.877774,0.895386,0.896373,-0.017612,-0.018599,tie
earlystop,math,90,10,selacc@10%,0.997403,0.998701,0.998701,-0.001298,-0.001298,tie
earlystop,math,90,10,stop_acc,0.741667,0.733333,0.716667,0.008334,0.025000,win
earlystop,math,90,20,auroc,0.914289,0.924461,0.924551,-0.010172,-0.010262,tie
